18,finalTime11-001,2,2,2,2
13,0,0.0155946,0.9998784,0,303.0816,-0.9998784,0.0155946,0,1854.435,0,0,1,201.166
12,0,0.8734018,0.4870002,0,-919.0357,-0.4870002,0.8734018,0,323.2501,0,0,1,158.314
11,0,0.8775325,0.4795171,0,-486.5654,-0.4795171,0.8775325,0,2105.254,0,0,1,100.708
17,0,5.960464E-08,0.9999999,0,-252.5,-0.9999999,5.960464E-08,0,203.5,0,0,1,-7.271767E-06
18,0,0.3538599,-0.9352984,0,-403.6299,0.9352984,0.3538599,0,1330.382,0,0,1,281.002
19,0,0.7557475,-0.6548632,0,419.6306,0.6548632,0.7557475,0,1013.622,0,0,1,284.777
20,0,0.3683242,-0.9296974,0,1058.304,0.9296974,0.3683242,0,1716.124,0,0,1,568.222
10,0,0.9999489,0.01010863,0,302.9355,-0.01010863,0.9999489,0,1861.902,0,0,1,355.111
11,0,0.4795172,-0.8775325,0,-486.5654,0.8775325,0.4795172,0,2105.254,0,0,1,100.708
16,0,0.937391,0.3482788,0,869.4651,-0.3482788,0.937391,0,558.889,0,0,1,245.398
22,0,0.8154708,-0.5787982,0,1284.351,0.5787982,0.8154708,0,214.8136,0,0,1,106.269
23,0,0.4143117,-0.9101351,0,412.457,0.9101351,0.4143117,0,181.0359,0,0,1,118.569
1,0,0.8129149,0.5823825,0,-813.5946,-0.5823825,0.8129149,0,1531.87,0,0,1,250.137
2,0,0.5975475,-0.8018335,0,-1042.014,0.8018335,0.5975475,0,1035.381,0,0,1,104.673
3,0,0.4326634,-0.9015555,0,-203.3409,0.9015555,0.4326634,0,1380.57,0,0,1,398.603
4,0,0.8662019,-0.4996941,0,850.5465,0.4996941,0.8662019,0,462.3291,0,0,1,367.877
14,0,0.718641,-0.6953813,0,450.2859,0.6953813,0.718641,0,1042.163,0,0,1,530.157
15,0,0.02672678,0.9996428,0,183.493,-0.9996428,0.02672678,0,491.2134,0,0,1,245.036
